// Database ASPD Job
//
// Struktur:
// JobID,Base,DAG,SWO,SW2,SPE,SP2,AXE,AX2,MAC,MA2,ROD,BOW,KNU,INS,WHI,BOK,KAT,HGU,RIF,GAT,SGU,GRE,HUU,RO2,SHI,*DAG,*SWO,*AXE
//
// * = Dual Weapon ASPD Penalty
//
//================================================
//ID,Base,DAG,SWO,SW2,SPE,SP2,AXE,AX2,MAC,MA2,ROD,BOW,KNU,INS,WHI,BOK,KAT,HGU,RIF,GAT,SGU,GRE,HUU,RO2,SHI,*DAG,*SWO,*AXE
   0, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Novice
   1, 156, -7, -7,-14,-17,-25,-15,-20,-10,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Swordman
   2, 146,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,-10,   0,   0,   0 // Magician
   3, 156,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,   0,   0,   0 // Archer
   4, 156,  0,  0,  0,  0,  0,  0,  0, -5,-10,-20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Acolyte
   5, 156,-12,-12,  0,  0,  0, -8,-15,-10,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Merchant
   6, 156, -8,-10,  0,  0,  0,-20,  0,  0,  0,  0,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Thief
   7, 156, -9, -5,-12,-15,-25,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Knight
   8, 156,  0,  0,  0,  0,  0,  0,  0, -3, -8,-20,  0,-20,  0,  0, -4,  0,  0,  0,  0,  0,  0,  0,-20, -5,   0,   0,   0 // Priest
   9, 146, -4,  0,  0,  0,  0,  0,  0,  0,  0, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -3, -8,   0,   0,   0 // Wizard
